subject,text,priority,queue
Fehler bei der Sprachlehr-App Babbel,"Sehr geehrte Damen und Herren, ich nutze Babbel seit einigen Monaten ohne Probleme, aber seit letztem Update startet die App nicht mehr richtig. Ich bekomme ständig Fehlermeldungen und kann keine Lektionen mehr laden. Können Sie mir bitte helfen, dieses Problem zu beheben? Danke! Kay Weiss",2,Software
Frage zur Nutzung von Azure in Verbindung mit Kubernetes,"Hallo Support, ich habe ein Problem, wenn ich Azure mit Kubernetes einsetze. Können Sie mir weiterhelfen?",2,Software
Frage zur Wartung meines Multiplexers,"Sehr geehrte Damen und Herren,
ich habe vor etwa einem Jahr Ihren Multiplexer gekauft (Bestellnummer: 4587-MPLX). Bisher hat er gut funktioniert, aber ich frage mich nun, ob ich eine bestimmte Wartung oder -Updates durchführen muss, um die optimale Leistung zu erhalten. Könnten Sie mir dazu bitte weiterführende Informationen zukommen lassen?
Beste Grüße,
Ulrich Meyer",1,Hardware
Positives Feedback zu Ihrer Buchhaltungssoftware,"Sehr geehrte Damen und Herren,

ich möchte Ihnen an dieser Stelle ein großes Lob aussprechen. Ihre Buchhaltungssoftware hat unsere Arbeit erheblich erleichtert. Die Funktionen sind intuitiv und effizient und auch der Kundenservice ist immer schnell und hilfsbereit. Besonders beeindruckt hat uns die Integration von Drittanbietern. Weiter so!

Mit freundlichen Grüßen,
Michaela Ja",2,Buchhaltung
Frage zu Überstundenregelungen im Vertrag,Könnten Sie bitte die Überstundenregelung in meinem Vertrag näher erläutern?,2,Buchhaltung
Frage zu Zendesk Admin Panel Update,"Sehr geehrte Damen und Herren,
könnten Sie mir bitte mitteilen, ob es demnächst ein geplantes Update für das Zendesk Admin Panel gibt? Ich würde gerne wissen, ob ich in den kommenden Wochen ein entsprechendes Update zu erwarten habe.
Vielen Dank!
Mit freundlichen Grüßen
Marianne Lindner",1,Software
Udringend – Storno meiner Bestellung #456789,"Sehr geehrte Damen und Herren, meine Bestellung #456789 muss  storniert werden, da ein Fehler bei der Eingabe vorlag. Bitte kümmern Sie sich umgehend darum, da es meine Firmenrechnung betrifft. Vielen Dank, Erik Becker",3,Buchhaltung
Anpassung Rechnungsbuchung AshiMe UG,"Sehr geehrte Damen und Herren, ich bitte um eine Anpassung der Rechnungsbuchung von unserer letzten Bestellung (Bestellnr. 3748921). Der Unternehmensname sollte 'AshiMe UG' und nicht 'Ashi Meier GmbH' lauten. Vielen Dank für Ihre Mühe! Beste Grüße, Ayse Meyer",1,Buchhaltung
Frage zur Rechnungsadressänderung,"Sehr geehrte Buchhaltung,ich möchte anfragen, ob es möglich ist, auf meiner nächsten Rechnung einen anderen Absendernamen zu verwenden.Vielen Dank!Heike Sander.",1,Buchhaltung
Wichtige Frage zur Karrieremöglichkeit und Fortbildungen,"Sehr geehrte Damen und Herren,

ich würde gerne Informationen zur weiteren Karriereentwicklung und den Fortbildungsmöglichkeiten bei uns im Unternehmen erhalten. Insbesondere interessiert mich, ob es finanzielle Unterstützung für Zertifizierungen im Bereich Projektmanagement gibt.

Vielen Dank im Voraus und mit freundlichen Grüßen,
Pierre Ziegler",3,Buchhaltung
Probleme mit dem neuen Smart-Gartenwerkzeug,"Sehr geehrte Damen und Herren,
mein Name ist Celina Schwarz und ich habe kürzlich ein Smart-Gartenwerkzeug bei Ihnen gekauft (Bestellnummer: 7523892). Leider funktioniert das Gerät nicht einwandfrei. Es schaltet sich oft von selbst aus und reagiert nicht immer auf Eingaben. Könnten Sie bitte überprüfen, ob ich ein fehlerhaftes Gerät erhalten habe?
Vielen Dank für Ihre Hilfe.
Mit freundlichen Grüßen,
Celina Schwarz",2,Hardware
Komplikationen mit Joomla Admin Control Panel,"Sehr geehrter Support, 

ich habe aktuell ein Problem mit meinem Joomla Admin Control Panel. Jede Änderung, die ich vornehmen möchte, wird nach dem Speichern nicht angewendet. Außerdem erscheinen vermehrt Fehlermeldungen ohne speziellen Code. Können Sie hierbei unterstützen? 
Danke.
Julia Le.",2,Software
