subject,text,priority,queue
! Fitness-Tracker defekt,"Sehr geehrte Damen und Herren, mein Fitness-Tracker zeigt keine Daten mehr an und lässt sich nicht aufladen. Ich benötige das Gerät  für meine täglichen Aktivitäten. Bitte um sofortige Hilfe! Vielen Dank, Carolin Ha",3,Hardware
Diese bestreitet ihre # gesamt,"Änder, bitte ändern Sie ihren Titel entsprechend der Anlage # Auf rein'Wunsch Co.'",1,Buchhaltung
Ab wegen der letzten Rechnung,"sehr geehrte Damen und Herren, er benötige dringend Fassung von meiner letzten Stellung.Unter unmittelbarer Bestellung # der - A ist ein erheblicher Betrag alles richtig vorhanden außer ich stelle die erforderliche Rechnung für den Geschäftsabschluss.Resonanz auf.Weber Haas",3,Buchhaltung
Angebot für Adobe Creative Suite Upgrade,"Sehr geehrte Damen und Herren, ich überlege, ein Upgrade von Adobe Creative Suite auf die neueste Version zu machen. Es ist nicht dringend, aber ich würde gerne wissen, wie viel das kosten würde und welche neuen Funktionen hinzugekommen sind. Vielen Dank im Voraus! Mit freundlichen Grüßen, Emine Lindner",1,Software
Frage zur Installation der Smart-Windelüberwachung,"Hallo Kundensupport, ich habe vor kurzem Ihre Smart-Windelüberwachung gekauft und wollte fragen, ob es spezielle Tipps für die Erstinstallation auf einem Huawei Tablet gibt? Die normale Anleitung ist mir zu unspezifisch. Vielen Dank und allerseits beste Grüße, Janni Drexler",1,Hardware
Barcode-Scanner funktioniert nicht korrekt,"Sehr geehrte Damen und Herren,
ich habe kürzlich einen Barcode-Scanner bei Ihnen erworben. Nun habe ich festgestellt, dass das Gerät bei unterschiedlichen Lichtverhältnissen Probleme beim Einlesen der Barcodes hat. Können Sie mir bitte weiterhelfen, bevor die Garantie abläuft? Vielen Dank im Voraus!
Mit freundlichen Grüßen,
Fabian Hermann",1,Hardware
Soforthilfe erforderlich! – Sustainability Software funktionsunfähig,"Sehr geehrte Damen und Herren, nach der Installation des letzten Updates für die Sustainability Software lässt sich das Programm nicht mehr öffnen. Ich bin darauf beruflich angewiesen und benötige  Zugang, da ich meine laufenden Projekte nicht mehr verwalten kann. Können Sie mir bitte schnellstmöglich helfen? Vielen Dank. Mit freundlichen Grüßen, Elisabeth We",3,Software
Änderung der Rechnungsempfängerin,"Sehr geehrte Damen und Herren, bitte ändern Sie den Rechnungsempfänger unserer letzten Abrechnung in meinem Account auf Gülnaz Eichhorn. Danke für Ihre Unterstützung. Mit freundlichen Grüßen.",1,Buchhaltung
Frage neue Form,"Aber also, Rahmen meiner Mitarbeitervorschriften habe ich jedoch zweite Anfrage zum Vertrag eingebracht.Vergessen sie mir nicht so schnell dass möglich helfen?Insgesamt besteht nach höchster Wichtigkeit für den weiteren Betrieb.Zahlen be, auf Färber",3,Buchhaltung
Diese - Bilanz : individuell Aktiv,"Juris Support - Dabei, ich selbst nachfragen, ob es möglich wäre, bei guter Nachbarschaft ein neues Update zur Windows Data Note zu bauen.Unser Kunde wartet nicht mit dringenden Änderungen, Aber ein Umsatz mit neuen Features könnte sehr interessant sein.Ein Dank betreffend viele Zu, Emine König",1,Software
Lieferantenrechnung:  Klärung benötigt,"Sehr geehrte Damen und Herren, bei der Lieferantenrechnung #56829 der Firma ABC GmbH gibt es eine Diskrepanz in Höhe von 1.200€. Bitte prüfen und korrigieren Sie dies umgehend, da unsere Buchhaltung in Verzug gerät. Mit freundlichen Grüßen, Jan-Peter Biedermann",3,Buchhaltung
Unbedingt benötigte Schulungsabrechnung für Mitarbeiter!,"Sehr geehrte Damen und Herren, ich benötige  eine Abrechnung für die kürzlich absolvierte Schulung eines Mitarbeiters. Ohne diese abrechnung kann er nicht bei dem Halbjahres Review bewertet warden! MfG, Björn Berisha.",3,Buchhaltung
Weniger : Zugang der vom Markt,"Lieb geehrte Damen beziehungsweise Herren, ich trage an langem Morgen nicht mehr ihre volle Buchhaltungssoftware ein.Hinzu kommt ständig eine Hinzu, der impl, dass freie Zugriffsrechte vorhanden sind.Ich muss die Fragen für ältere Leser bearbeiten.Von freundlichen Grüßen, Rest Gesamt",3,Buchhaltung
Juris Maya nicht starten [UNK] Eine aus!,"Sehr normale Damen und Alte, ich kann Maya seit dem letzten Update sicher mehr und daher deshalb mehr fur jedes Kundenprojekt!Drei würde ich tun?Normal Schwarz",3,Software
Frage zur Störungsbehebung am Netgear CM1000,"Sehr geehrte Damen und Herren,

ich nutze den Netgear CM1000 Router und habe seit kurzem sporadische Verbindungsprobleme. Es geht mir wohl primär um eine Frage, ob ein baldiges Firmware-Update geplant ist oder ob ich noch andere Schritte unternehmen könnte.

Mit freundlichen Grüßen,
Hannes Walter",1,Hardware
Smart-Gartenbeleuchtung defekt -  Hilfe benötigt,"Sehr geehrte Damen und Herren, meine kürzlich erworbene Smart-Gartenbeleuchtung lässt sich nicht mehr einschalten. Ich benötige  Hilfe, da ich diese täglich benötige. Mit freundlichen Grüßen, Anne Jäger",3,Hardware
Promotion für Mehr Geltend,"Hallo diese, bieten mir seit Jahr über ein Mailchimp - Upgrade, allerdings selbst.Prozess um Anerkennung, wenn dieses passt.LG, Dortmund München",1,Software
Fehler bei der Installation von Web Security 3.0,"Hallo Kundensupport, meine Kundennummer: 4591237. Ich wollte gerade Web Security 3.0 auf meinem Firmenlaptop installieren und bekomme ständig die Fehlermeldung 'Installation failed: Code 502'. Ich benötige dieses Sicherheitssystem  und bitte um schnelle Lösung. Was kann ich tun? Vielen Dank!",2,Software
Defektes Fiber Optic Cable nach einer Woche,"Sehr geehrte Damen und Herren,
mein vor einer Woche bei Ihnen erworbenes Fiber Optic Cable funktioniert nicht mehr. Bitte um Austausch oder Reparatur. Vielen Dank.
Mit freundlichen Grüßen,
Andrea Nagel",2,Hardware
Frage zu Dokumenten für den Jahresabschluss 2023,"Sehr geehrte Damen und Herren, ich bin Mitarbeiter in der Finanzabteilung und benötige  die Dokumente und Unterlagen für den Jahresabschluss. Könnten Sie mir bitte alle relevanten Daten und Berichte für das Jahr 2023 schnellstmöglich zukommen lassen? Es handelt sich um eine  Angelegenheit für unsere Abteilung. Vielen Dank für Ihre rasche Unterstützung. Mit freundlichen Grüßen, Lars Dietrich",2,Buchhaltung
Vertragsfragen zu Laravel-Support,"Sehr geehrte Damen und Herren, ich bin Esma Pelzer (Kundennummer 548732), und ich habe Fragen bezüglich meines aktuellen Vertrags für den Laravel-Support. Ist es möglich, den Support-Vertrag auf ein höheres Level zu upgraden, da unsere Projekte immer komplexer werden? Ebenso benötige ich Infos zu eventuell entstehenden Mehrkosten. Danke und Gruß, Esma Pelzer",2,Buchhaltung
Überprüfen Sie rechtliche Fragen zu Mitarbeiteranfragen,Benötige  Hilfe zu rechtlichen Fragen der Mitarbeiter.,3,Buchhaltung
Mitarbeiteranfragen::Jahresabschluss 2022,"Sehr geehrte Damen und Herren, bitte senden Sie mir den Jahresabschluss für 2022 zur Durchsicht. Ich muss eine Verifizierung vornehmen. Vielen Dank im Voraus. Mit freundlichen Grüßen, Solmaz Bucher",1,Buchhaltung
Gültigkeit jeder Anmeldung einer Total Commerce Cloud Admin Lux,"Bis Fasch, ihr kann es nicht bei Neck Commerce und Admin II auf.Zahl und Klärung.All, [UNK] betreffend",2,Software
Andere Werte für sein Management,"Sehr zurückgezogen Frauen, Aktiv 2001 habe sie von neuen Funktionen in Ihrer kompletten Management Position erfahren.ich benötige ein Lied, um von diesen erfahren und dürfen.können Sie hier entweder pauschal - Termin gegen die Kosten mitteilen?Titel ihrer, Mirko Kolle",2,Software
 Anfrage:  funktioniert nicht,"Sehr geehrte Damen und Herren, ich habe ein Problem mit unserer Finanzsoftware. Seit dem letzten Update können wir keine Berichte mehr generieren und unser Finanzteam ist blockiert. Können Sie uns bitte umgehend weiterhelfen? Die Lage ist . Herzlichen Dank, Chantalle Hart.",3,Buchhaltung
Open Verjährung Was erforderlich,"Kurz geehrte Damen und Herren, sie möchte diesen regulären Vertrag überprüfen möglichst nicht anpassen lassen.Können Sie mir eine Bewertung der möglichen Möglichkeiten zusenden?230 stimmen dafür Voraus, und Peschke",2,Buchhaltung
Angebotsanfrage: Neue Buchhaltungssoftware,"Sehr geehrte Damen und Herren, ich interessiere mich für Ihre neue Buchhaltungssoftware und hätte gerne ein unverbindliches Angebot. Bitte lassen Sie mir die Preisinformationen sowie eventuell verfügbare Rabatte zukommen. Vielen Dank! Meik Taubert",1,Buchhaltung
Frage zum PCI DSS Compliance-Tool,"Hallo Kundensupport, ich habe eine Frage zu Ihrem PCI DSS Compliance-Tool. Wo genau finde ich eine Beschreibung aller Einstellungen? Ich möchte sicherstellen, dass alles korrekt konfiguriert ist. Danke, Arda Niemeyer.",1,Software
Update-Anfrage: Water Management Version,"Hallo Kundensupport Team, 

Ich nutze seit einiger Zeit eure Water Management  in meiner Firma und bin sehr zufrieden. Nun hätte ich eine Anfrage: Gibt es in den nächsten Wochen ein geplantes Update? Es wäre wichtig zu wissen, da wir planen, einige Funktionen öfter zu nutzen und diese stabiler zu haben. Es hat aber keine Eile, rechtzeitig genügt.

Vielen Dank und freundliche Grüße, 
Rene Kaufmann",1,Software
